confirm_deny,url,title,detail,location,speaker,bio,start_date,start_time,end_date,end_time
Confirmed,https://www.eventbrite.com/e/ai-fluency-pathway-tampa-tickets-1991753726011,AI Fluency Pathway - Tampa,Build AI fluency and apply AI responsibly in real-world and workplace contexts.,,,,2026-07-16,,2026-07-16,
Confirmed,https://www.eventbrite.com/e/generative-ai-and-ai-agent-tampa-tickets-1991752849389?aff=ebdssbdestsearch,Generative AI and AI Agent - Tampa,Explore generative AI and AI agent skills.,,,,2026-07-01,,2026-07-01,
Confirmed,https://www.eventbrite.com/e/ai-specialists-aiconnect-forge-your-career-path-expand-your-network-tampa-tickets-1991712702308?aff=ebdssbdestsearch,AI Specialists: AIConnect - Forge Your Career Path & Expand Your Network - Tampa,"Join us for specialists aiconnect networking in Tampa on 10 Jul 2026, 5 PM EDT. Connect with professionals!",,,,2026-07-10,,2026-07-10,
Confirmed,https://business.southtampachamber.org/events/details/summer-school-series-advanced-ai-prompting-for-beginners-42305,SUMMER SCHOOL SERIES: Advanced AI Prompting for Beginners,"Where business professionals can level up their skills and connect with peers in a dynamic, hands-on learning environment.",,,,2026-07-08,,2026-07-08,
Confirmed,https://worldresearchsociety.com/Conference/65159/GSAIET/registration,Global Summit on Artificial Intelligence and Emerging Technologies,"The conference provides an international platform for professionals, researchers, academicians, and industry experts involved in Artificial Intelligence and Emerging Technologies to exchange knowledge and gain insights into the latest developments,",,,,2026-06-27,,2026-06-27,
Confirmed,https://www.joinaiweek.com/tampa,AI Conference for Tampa Inventors,"Tampa AI Week blends conference-level insights with the energy of a high-impact meetup. As a leading Florida AI Conference, Tampa AI Week brings together operators, executives, developers, and innovators for practical sessions, community events, and meaningful connections across the Tampa AI ecosystem.",,,,2026-10-13,,2026-10-13,
Confirmed,https://tampa.dev/events/4bc1f5e3-1258-40cb-bba3-7455119ce383,"Security Vulnerabilities, Fines, Failures that await in Vibe Coding","Regardless of what you are Vibe coding with - This is Important. Claude Code, Bolt, Lovable, Cursor, Replet, Base64... They all have the same weaknesses. No documentation. Weak database development. Exposing credentials. Not enforcing database RLS. No documentation. Poor database design leading to possible collapse under heavy use. SEO Invisible. Poor or no Social Media capabilities.",,,,2026-08-19,,2026-08-19,
Confirmed,https://tampa.dev/events/e2110bb5-fe9b-483c-a4fa-00149047189f,Data Analytics & AI - Tampa Bay - September MEETUP,"For most businesses and organizations, data analytics and business intelligence is used to support mandatory business functions. For data scientists, the tools and technologies are ever-changing. Join local experts in discussing current trends and topics in the analytics field, including AI and ML, data science, business analytics, systems design, database management, data mining, and more..",,,,2026-09-09,,2026-09-09,
Confirmed,https://dev.events/conferences/day-of-data-orlando-2026-lq6-pc3q,Data of Day Orlando 2026,Orlando's 19th Annual Day of Data (SQL Saturday) is a FREE one-day training event for IT professionals and students interested in data platforms.,,,,2026-10-17,,2026-10-17,
Confirmed,https://dev.events/conferences/live-360-tech-con-2026-y8kk6ubt,Live! 360 Tech Con,"Live! 360 Tech Con brings together IT pros, developers, data and security experts, enterprise and AI engineers, and technology leaders to sharpen skills, share best practices, and stay ahead of what’s next. Join us in Orlando this November as we put the Future in Focus—deepening your AI expertise, fueling innovation, and propelling your career forward.",,,,2026-11-15,,2026-11-15,
